RANK,NAME,REVENUES ($M),REVENUE PERCENT CHANGE,PROFITS ($M),PROFITS PERCENT CHANGE,ASSETS ($M),"MARKET VALUE — AS OF MARCH 29, 2019 ($M)",CHANGE IN RANK (FULL 1000),EMPLOYEES,CHANGE IN RANK (500 ONLY),URL_FORBES,URL_COMPANY,SEARCH_URL,URL_COMPANY_SUFFIX,URL_LEADERSHIP,URL_LEADERSHIP_ROOT,URL_DOMAIN
1,Walmart,"$514,405.0",2.8%,"$6,670.0",-32.4%,"$219,295.0","$279,880.3",-,"2,200,000",-,https://fortune.com/fortune500/2019/walmart,http://www.walmart.com,https://www.google.com/search?q=Walmart+corporate+leadership+page,walmart.com,https://corporate.walmart.com/our-story/leadership,https://corporate.walmart.com,.com
2,Exxon Mobil,"$290,212.0",18.8%,"$20,840.0",5.7%,"$346,196.0","$342,172.0",-,"71,000",-,https://fortune.com/fortune500/2019/exxon-mobil,http://www.exxonmobil.com,https://www.google.com/search?q=Exxon Mobil+corporate+leadership+page,exxonmobil.com,https://corporate.exxonmobil.com/company/who-we-are/management-committee,https://corporate.exxonmobil.com,.com
3,Apple,"$265,595.0",15.9%,"$59,531.0",23.1%,"$365,725.0","$895,667.4",1,"132,000",1,https://fortune.com/fortune500/2019/apple,http://www.apple.com,https://www.google.com/search?q=Apple+corporate+leadership+page,apple.com,https://www.apple.com/leadership/,https://www.apple.com,.com
4,Berkshire Hathaway,"$247,837.0",2.4%,"$4,021.0",-91.1%,"$707,794.0","$493,870.3",-1,"389,000",-1,https://fortune.com/fortune500/2019/berkshire-hathaway,http://www.berkshirehathaway.com,https://www.google.com/search?q=Berkshire Hathaway+corporate+leadership+page,berkshirehathaway.com,https://www.berkshirehathawayhs.com/pages/about,https://www.berkshirehathawayhs.com,.com
5,Amazon.com,"$232,887.0",30.9%,"$10,073.0",232.1%,"$162,648.0","$874,709.5",3,"647,500",3,https://fortune.com/fortune500/2019/amazon-com,http://www.amazon.com,https://www.google.com/search?q=Amazon.com+corporate+leadership+page,amazon.com,https://ir.aboutamazon.com/board-of-directors,https://ir.aboutamazon.com,.com
6,UnitedHealth Group,"$226,247.0",12.5%,"$11,986.0",13.5%,"$152,221.0","$237,255.5",-1,"300,000",-1,https://fortune.com/fortune500/2019/unitedhealth-group,http://www.unitedhealthgroup.com,https://www.google.com/search?q=UnitedHealth Group+corporate+leadership+page,unitedhealthgroup.com,https://www.unitedhealthgroup.com/about/executives.html,https://www.unitedhealthgroup.com,.com
7,McKesson,"$208,357.0",4.9%,$67.0,-98.7%,"$60,381.0","$22,455.1",-1,"68,000",-1,https://fortune.com/fortune500/2019/mckesson,http://www.mckesson.com,https://www.google.com/search?q=McKesson+corporate+leadership+page,mckesson.com,https://www.mckesson.com/about-mckesson/our-company/executive-officers/,https://www.mckesson.com,.com
8,CVS Health,"$194,579.0",5.3%,$-594.0,-109.0%,"$196,456.0","$69,951.6",-1,"295,000",-1,https://fortune.com/fortune500/2019/cvs-health,http://www.cvshealth.com,https://www.google.com/search?q=CVS Health+corporate+leadership+page,cvshealth.com,https://cvshealth.com/about/leadership,https://cvshealth.com,.com
9,AT&T,"$170,756.0",6.4%,"$19,370.0",-34.2%,"$531,864.0","$228,444.7",-,"268,220",-,https://fortune.com/fortune500/2019/att,http://www.att.com,https://www.google.com/search?q=AT&T+corporate+leadership+page,att.com,https://investors.att.com/corporate-governance/leadership,https://investors.att.com,.com
10,AmerisourceBergen,"$167,939.6",9.7%,"$1,658.4",355.0%,"$37,669.8","$16,785.9",2,"20,500",2,https://fortune.com/fortune500/2019/amerisourcebergen,http://www.amerisourcebergen.com,https://www.google.com/search?q=AmerisourceBergen+corporate+leadership+page,amerisourcebergen.com,https://www.amerisourcebergen.com/about-our-leadership,https://www.amerisourcebergen.com,.com
11,Chevron,"$166,339.0",23.6%,"$14,824.0",61.2%,"$253,863.0","$234,049.7",2,"48,600",2,https://fortune.com/fortune500/2019/chevron,http://www.chevron.com,https://www.google.com/search?q=Chevron+corporate+leadership+page,chevron.com,https://www.chevron.com/about/leadership,https://www.chevron.com,.com
12,Ford Motor,"$160,338.0",2.3%,"$3,677.0",-51.6%,"$256,540.0","$35,028.0",-1,"199,000",-1,https://fortune.com/fortune500/2019/ford-motor,http://www.corporate.ford.com,https://www.google.com/search?q=Ford Motor+corporate+leadership+page,corporate.ford.com,https://media.ford.com/content/fordmedia/fna/us/en/people.filter.company-officers.0.50.html,https://media.ford.com/content/fordmedia/fna/us/en/people.filter.com,.com
13,General Motors,"$147,049.0",-6.5%,"$8,014.0",-,"$227,339.0","$52,291.7",-3,"173,000",-3,https://fortune.com/fortune500/2019/general-motors,http://www.gm.com,https://www.google.com/search?q=General Motors+corporate+leadership+page,gm.com,https://www.gm.com/our-company/leadership/corporate-officers.html,https://www.gm.com,.com
14,Costco Wholesale,"$141,576.0",9.7%,"$3,134.0",17.0%,"$40,830.0","$106,512.6",1,"194,000",1,https://fortune.com/fortune500/2019/costco,http://www.costco.com,https://www.google.com/search?q=Costco Wholesale+corporate+leadership+page,costco.com,http://investor.costco.com/executive-officers,http://investor.costco.com,.com
15,Alphabet,"$136,819.0",23.4%,"$30,736.0",142.7%,"$232,792.0","$816,824.2",7,"98,771",7,https://fortune.com/fortune500/2019/alphabet,http://www.abc.xyz,https://www.google.com/search?q=Alphabet+corporate+leadership+page,abc.xyz,https://abc.xyz/investor/other/board/#,https://abc.xyz,.xyz
16,Cardinal Health,"$136,809.0",5.3%,$256.0,-80.1%,"$39,951.0","$14,349.5",-2,"50,200",-2,https://fortune.com/fortune500/2019/cardinal-health,http://www.cardinalhealth.com,https://www.google.com/search?q=Cardinal Health+corporate+leadership+page,cardinalhealth.com,https://www.cardinalhealth.com/en/about-us/our-people/our-leaders.html,https://www.cardinalhealth.com,.com
